sheet_name,rows,columns,column_names
01_asset_master,10,11,"property_id, property_name, city, county, state, property_type, year_built, gross_floor_area_sqft, units, occupancy_rate, affordable_units_pct"
02_energy_monthly,120,16,"property_id, property_name, city, county, state, property_type, month, electricity_kwh, natural_gas_therms, electricity_cost_usd, natural_gas_cost_usd, electricity_rate_usd_kwh, gas_rate_usd_therm, owner_or_tenant_paid, data_quality, source_note"
03_water_monthly,120,12,"property_id, property_name, city, county, month, water_gallons, water_cost_usd, sewer_cost_usd, irrigation_included, owner_or_tenant_paid, data_quality, notes"
04_waste_monthly,120,13,"property_id, property_name, city, county, state, month, landfill_tons, recycling_tons, compost_tons, waste_cost_usd, vendor, data_quality, source_note"
05_emission_factors,6,16,"factor_id, source_name, source_year, geography, fuel_or_energy_type, scope, input_unit, co2_factor, ch4_factor, n2o_factor, co2e_factor, co2e_unit, conversion_notes, source_url, use_in_project, quality_note"
06_benchmark_data,10,11,"benchmark_id, category, property_type, benchmark_metric, benchmark_value, unit, source_name, source_year, source_url, how_to_use, notes"
07_community_acs,10,22,"property_id, property_name, city, county, state, geoid_county, geography_level, median_household_income_usd_2020_2024, poverty_rate, owner_occupied_rate, renter_occupied_rate, population_under_5_pct, population_over_65_pct, language_other_than_english_pct, median_gross_rent_usd, rent_burden_rate, rent_burden_note, social_vulnerability_flag, income_vs_wi_median_flag, source_year, source_name, source_url"
08_climate_risk_fema,10,22,"property_id, property_name, city, county, state, overall_risk_score_0_100, overall_risk_rating, national_percentile, expected_annual_loss_musd, social_vulnerability_rating, community_resilience_rating, top_hazard_1, top_hazard_1_rating, top_hazard_2, top_hazard_2_rating, top_hazard_3, top_hazard_3_rating, data_granularity, source_year_version, source_name, source_url, notes"
09_ej_cejst,10,20,"property_id, property_name, city, county, state, address_or_latlong_status, census_tract_status, cejst_disadvantaged_proxy, energy_burden_flag_proxy, housing_burden_flag_proxy, legacy_pollution_flag_proxy, transportation_barrier_flag_proxy, water_wastewater_flag_proxy, low_income_flag_proxy, tribal_or_rural_context_flag, priority_lidac_screen, data_confidence, recommended_next_step, source_urls, notes"
10_retrofit_options,90,20,"property_id, property_name, city, county, measure_id, measure_name, category, capital_cost_usd, eligible_incentive_usd, annual_electricity_savings_kwh, annual_gas_savings_therms, annual_water_savings_gal, annual_cost_savings_usd, useful_life_years, tenant_benefit_score_1_5, owner_benefit_score_1_5, implementation_difficulty, source_basis, data_confidence, notes"
11_gresb_evidence_checklist,11,11,"indicator_id, gresb_area, indicator_name, evidence_required, current_status, evidence_available_yes_no, data_source_to_check, responsible_team, priority, notes, source_url"
02_energy_summary_template,10,22,"property_id, property_name, gross_floor_area_sqft, units, annual_electricity_kwh, annual_natural_gas_therms, annual_electricity_cost_usd, annual_gas_cost_usd, annual_total_energy_cost_usd, electricity_kbtu, natural_gas_kbtu, total_energy_kbtu, site_eui_kbtu_sqft, electricity_intensity_kwh_sqft, gas_intensity_therms_sqft, energy_cost_per_unit, energy_cost_per_sqft, months_with_energy_data, energy_data_coverage_pct, benchmark_site_eui, eui_vs_benchmark, energy_performance_flag"
Calculation_Guide,23,6,"step, where_to_work, column_or_kpi, purpose, excel_formula_example, interpretation_or_warning"
Data_Dictionary,13,5,"tab, primary_use, raw_or_proxy, source_or_basis, what_you_calculate_later"
